row.id,Scoring,Start,Start_Frame,Stop,Stop_Frame,duration,Subject,Behaviour,Value,trial
337,gogge_MaP_Stella4_2021-11-23 09-58-18,678.9166667,40735,679.6,40776,0.683333333,Stella4,Looking target,Duration looking transparent,1
338,gogge_MaP_Stella4_2021-11-23 09-58-18,680.6666667,40840,682.2166667,40933,1.55,Stella4,Looking target,Duration looking opaque,1
339,gogge_MaP_Stella4_2021-11-23 09-58-18,682.6833333,40961,684.3166667,41059,1.633333333,Stella4,Looking target,Duration looking transparent,1
340,gogge_MaP_Stella4_2021-11-23 09-58-18,685.4,41124,686.8666667,41212,1.466666667,Stella4,Looking target,Duration looking transparent,1
341,gogge_MaP_Stella4_2021-11-23 09-58-18,688.2166667,41293,688.7666667,41326,0.55,Stella4,Looking target,Duration looking opaque,1
342,gogge_MaP_Stella4_2021-11-23 09-58-18,690.2,41412,,,,Stella4,First target choice,First choice transparent,1
343,gogge_MaP_Stella4_2021-11-23 09-58-18,711.6,42696,,,,Stella4,Inspection behind screen,Inspection behind transparent,1
344,gogge_MaP_Stella4_2021-11-23 09-58-18,806.5333333,48392,851.85,51111,45.31666667,Stella4,Trial ,2,2
345,gogge_MaP_Stella4_2021-11-23 09-58-18,810.0666667,48604,,,,Stella4,First look,First look transparent,2
346,gogge_MaP_Stella4_2021-11-23 09-58-18,810.0666667,48604,811.0833333,48665,1.016666667,Stella4,Looking target,Duration looking transparent,2
347,gogge_MaP_Stella4_2021-11-23 09-58-18,814.4666667,48868,814.6,48876,0.133333333,Stella4,Looking target,Duration looking transparent,2
348,gogge_MaP_Stella4_2021-11-23 09-58-18,816.0666667,48964,819.7,49182,3.633333333,Stella4,Looking target,Duration looking transparent,2
349,gogge_MaP_Stella4_2021-11-23 09-58-18,821.45,49287,821.7833333,49307,0.333333333,Stella4,Looking target,Duration looking transparent,2
350,gogge_MaP_Stella4_2021-11-23 09-58-18,822.75,49365,,,,Stella4,First target choice,First choice transparent,2
351,gogge_MaP_Stella4_2021-11-23 09-58-18,824.9166667,49495,,,,Stella4,Inspection behind screen,Inspection behind opaque,2
352,gogge_MaP_Stella4_2021-11-23 09-58-18,912.4666667,54748,956.45,57387,43.98333333,Stella4,Trial ,3,3
353,gogge_MaP_Stella4_2021-11-23 09-58-18,913.2333333,54794,,,,Stella4,First look,First look opaque,3
354,gogge_MaP_Stella4_2021-11-23 09-58-18,913.2333333,54794,914.0166667,54841,0.783333333,Stella4,Looking target,Duration looking opaque,3
355,gogge_MaP_Stella4_2021-11-23 09-58-18,915.2833333,54917,915.7833333,54947,0.5,Stella4,Looking target,Duration looking transparent,3
356,gogge_MaP_Stella4_2021-11-23 09-58-18,916.2666667,54976,917.35,55041,1.083333333,Stella4,Looking target,Duration looking opaque,3
357,gogge_MaP_Stella4_2021-11-23 09-58-18,918.9833333,55139,919.3833333,55163,0.4,Stella4,Looking target,Duration looking transparent,3
358,gogge_MaP_Stella4_2021-11-23 09-58-18,919.85,55191,920.4333333,55226,0.583333333,Stella4,Looking target,Duration looking opaque,3
359,gogge_MaP_Stella4_2021-11-23 09-58-18,923.2166667,55393,925.0166667,55501,1.8,Stella4,Looking target,Duration looking opaque,3
360,gogge_MaP_Stella4_2021-11-23 09-58-18,927.65,55659,,,,Stella4,First target choice,First choice transparent,3
361,gogge_MaP_Stella4_2021-11-23 09-58-18,936.4833333,56189,,,,Stella4,Inspection behind screen,Inspection behind transparent,3
362,gogge_MaP_Stella4_2021-11-23 09-58-18,1013.066667,60784,1059.833333,63590,46.76666667,Stella4,Trial ,4,4
363,gogge_MaP_Stella4_2021-11-23 09-58-18,1020.8,61248,,,,Stella4,First look,First look transparent,4
364,gogge_MaP_Stella4_2021-11-23 09-58-18,1020.8,61248,1022.416667,61345,1.616666667,Stella4,Looking target,Duration looking transparent,4
365,gogge_MaP_Stella4_2021-11-23 09-58-18,1023.466667,61408,1025.233333,61514,1.766666667,Stella4,Looking target,Duration looking opaque,4
366,gogge_MaP_Stella4_2021-11-23 09-58-18,1027.016667,61621,1027.3,61638,0.283333333,Stella4,Looking target,Duration looking transparent,4
367,gogge_MaP_Stella4_2021-11-23 09-58-18,1028.25,61695,,,,Stella4,First target choice,First choice transparent,4
368,gogge_MaP_Stella4_2021-11-23 09-58-18,1046.066667,62764,,,,Stella4,Inspection behind screen,Inspection behind opaque,4
369,goggle_MaP_Lakota_2021-11-23 16-04-50,864.8333333,51890,873.8666667,52432,9.033333333,Lakota,Manipulation check ,Manipulation check transparent,
370,goggle_MaP_Lakota_2021-11-23 16-04-50,966.7166667,58003,1011.416667,60685,44.7,Lakota,Trial ,1,1
371,goggle_MaP_Lakota_2021-11-23 16-04-50,966.8166667,58009,,,,Lakota,First look,First look transparent,1
372,goggle_MaP_Lakota_2021-11-23 16-04-50,966.8166667,58009,967.5,58050,0.683333333,Lakota,Looking target,Duration looking transparent,1
373,goggle_MaP_Lakota_2021-11-23 16-04-50,981.3666667,58882,981.7833333,58907,0.416666667,Lakota,Looking target,Duration looking opaque,1
374,goggle_MaP_Lakota_2021-11-23 16-04-50,982.2,58932,,,,Lakota,First target choice,First choice opaque,1
375,goggle_MaP_Lakota_2021-11-23 16-04-50,987.8333333,59270,,,,Lakota,Inspection behind screen,Inspection behind transparent,1
376,goggle_MaP_Lakota_2021-11-23 16-04-50,1074.383333,64463,1117.05,67023,42.66666667,Lakota,Trial ,2,2
377,goggle_MaP_Lakota_2021-11-23 16-04-50,1074.616667,64477,,,,Lakota,First look,First look transparent,2
378,goggle_MaP_Lakota_2021-11-23 16-04-50,1074.616667,64477,1077.05,64623,2.433333333,Lakota,Looking target,Duration looking transparent,2
379,goggle_MaP_Lakota_2021-11-23 16-04-50,1087.883333,65273,1088.233333,65294,0.35,Lakota,Looking target,Duration looking opaque,2
380,goggle_MaP_Lakota_2021-11-23 16-04-50,1089.016667,65341,,,,Lakota,First target choice,First choice opaque,2
381,goggle_MaP_Lakota_2021-11-23 16-04-50,1096.516667,65791,,,,Lakota,Inspection behind screen,Inspection behind opaque,2
382,goggle_MaP_Lakota_2021-11-23 16-04-50,1167.616667,70057,1211.683333,72701,44.06666667,Lakota,Trial ,3,3
383,goggle_MaP_Lakota_2021-11-23 16-04-50,1168.466667,70108,,,,Lakota,First look,First look transparent,3
384,goggle_MaP_Lakota_2021-11-23 16-04-50,1168.466667,70108,1170.683333,70241,2.216666667,Lakota,Looking target,Duration looking transparent,3
385,goggle_MaP_Lakota_2021-11-23 16-04-50,1180.966667,70858,1181.216667,70873,0.25,Lakota,Looking target,Duration looking opaque,3
386,goggle_MaP_Lakota_2021-11-23 16-04-50,1181.75,70905,,,,Lakota,First target choice,First choice opaque,3
387,goggle_MaP_Lakota_2021-11-23 16-04-50,1265.033333,75902,1309.383333,78563,44.35,Lakota,Trial ,4,4
388,goggle_MaP_Lakota_2021-11-23 16-04-50,1265.1,75906,,,,Lakota,First look,First look opaque,4
389,goggle_MaP_Lakota_2021-11-23 16-04-50,1265.1,75906,1265.55,75933,0.45,Lakota,Looking target,Duration looking opaque,4
390,goggle_MaP_Lakota_2021-11-23 16-04-50,1265.816667,75949,1266.216667,75973,0.4,Lakota,Looking target,Duration looking transparent,4
391,goggle_MaP_Lakota_2021-11-23 16-04-50,1280.066667,76804,1280.333333,76820,0.266666667,Lakota,Looking target,Duration looking opaque,4
392,goggle_MaP_Lakota_2021-11-23 16-04-50,1281.133333,76868,,,,Lakota,First target choice,First choice opaque,4
393,goggle_MaP_Lakota_2021-11-23 16-04-50,1298.783333,77927,,,,Lakota,Inspection behind screen,Inspection behind transparent,4
394,goggle_MaP_Elvis3_2021-11-21 10-31-50,641.2,38472,643.45,38607,2.25,Elvis3,Manipulation check ,Manipulation check transparent,
395,goggle_MaP_Elvis3_2021-11-21 10-31-50,774.0833333,46445,820.6833333,49241,46.6,Elvis3,Trial ,1,1
396,goggle_MaP_Elvis3_2021-11-21 10-31-50,778.15,46689,,,,Elvis3,First look,First look transparent,1
397,goggle_MaP_Elvis3_2021-11-21 10-31-50,778.15,46689,787.3833333,47243,9.233333333,Elvis3,Looking target,Duration looking transparent,1
398,goggle_MaP_Elvis3_2021-11-21 10-31-50,788.8833333,47333,789.2333333,47354,0.35,Elvis3,Looking target,Duration looking opaque,1
399,goggle_MaP_Elvis3_2021-11-21 10-31-50,789.9833333,47399,,,,Elvis3,First target choice,First choice opaque,1
400,goggle_MaP_Elvis3_2021-11-21 10-31-50,793.3333333,47600,,,,Elvis3,Inspection behind screen,Inspection behind transparent,1
401,goggle_MaP_Elvis3_2021-11-21 10-31-50,890.2,53412,934.5833333,56075,44.38333333,Elvis3,Trial ,2,2
402,goggle_MaP_Elvis3_2021-11-21 10-31-50,895.3666667,53722,,,,Elvis3,First look,First look transparent,2
403,goggle_MaP_Elvis3_2021-11-21 10-31-50,895.3666667,53722,900.0166667,54001,4.65,Elvis3,Looking target,Duration looking transparent,2
404,goggle_MaP_Elvis3_2021-11-21 10-31-50,904.25,54255,904.7,54282,0.45,Elvis3,Looking target,Duration looking opaque,2
405,goggle_MaP_Elvis3_2021-11-21 10-31-50,905.7166667,54343,,,,Elvis3,First target choice,First choice opaque,2
406,goggle_MaP_Elvis3_2021-11-21 10-31-50,908.25,54495,,,,Elvis3,Inspection behind screen,Inspection behind transparent,2
407,goggle_MaP_Elvis3_2021-11-21 10-31-50,987.2833333,59237,1032.033333,61922,44.75,Elvis3,Trial ,3,3
408,goggle_MaP_Elvis3_2021-11-21 10-31-50,989.4,59364,,,,Elvis3,First look,First look transparent,3
