"","Estimate","SE","Chi2","df","p","LowerCI","UpperCI","min","max"
"(Intercept)"," 0.19","0.54","  NA",NA,"   NA","-1.39","4.46","-0.04"," 0.44"
"looking_conditiontransparent","-0.28","0.78","0.13",1,"0.715","-4.50","3.35","-0.55","-0.07"
"transparent_screenyellow"," 0.56","0.49","1.36",1,"0.244","-0.51","4.13"," 0.43"," 0.74"
"z.trial","-0.30","0.26","1.35",1,"0.246","-3.45","0.28","-0.48","-0.22"
"z.age"," 0.21","0.23","0.27",1,"0.600","-0.45","1.53"," 0.11"," 0.30"
"sexM"," 1.07","0.60","3.77",1,"0.052","-0.08","6.26"," 0.73"," 1.48"
