"","Estimate","SE","Chi2","df","p","LowerCI","UpperCI","min","max","delta_aic"
"(Intercept)"," 0.22","0.26","  NA",NA,"   NA","-0.33","0.72"," 0.13","0.30",NA
"looking_conditiontransparent","-0.13","0.38","0.12",1,"0.724","-0.83","0.60","-0.28","0.00",1.88
"transparent_screenyellow"," 0.09","0.21","0.17",1,"0.682","-0.34","0.54"," 0.05","0.17",1.83
"z.trial"," 0.13","0.11","1.24",1,"0.265","-0.10","0.35"," 0.08","0.18",0.76
"z.age"," 0.13","0.11","1.32",1,"0.251","-0.08","0.34"," 0.09","0.16",0.68
"sexM"," 0.49","0.24","4.10",1,"0.043"," 0.00","0.97"," 0.41","0.56",-2.1
